ENSG00000082996	DAP2_2022
ENSG00000083168	DAP4_1015
ENSG00000083312	DAP3_1339
ENSG00000083444	DAP1_4928
ENSG00000083454	DAP2_1104
ENSG00000083457	DAP1_5348
ENSG00000083520	DAP4_3706
ENSG00000083544	DAP2_0172
ENSG00000083642	DAP3_0897
ENSG00000083720	DAP4_3619
ENSG00000083750	DAP3_2901
ENSG00000083782	DAP4_2425
ENSG00000083799	DAP3_2167
ENSG00000083845	DAP2_2143
ENSG00000083857	DAP2_3990
ENSG00000084090	DAP3_1777
ENSG00000084093	DAP4_4136
ENSG00000084110	DAP2_2308
ENSG00000084207	DAP1_3624
ENSG00000084234	DAP2_5060
ENSG00000084453	DAP2_1665
ENSG00000084623	DAP2_2898
ENSG00000084636	DAP1_5750
ENSG00000084652	DAP4_1228
ENSG00000084674	DAP1_1950
ENSG00000084676	DAP2_1138
ENSG00000084731	DAP3_5664
ENSG00000084734	DAP3_2198
ENSG00000084754	DAP2_2854
ENSG00000084764	DAP4_1079
ENSG00000084774	DAP2_4087
ENSG00000085063	DAP4_0859
ENSG00000085224	DAP3_0758
ENSG00000085231	DAP1_2187
ENSG00000085265	DAP1_3072
ENSG00000085276	DAP3_4947
ENSG00000085365	DAP2_2331
ENSG00000085377	DAP2_5708
ENSG00000085465	DAP3_1055
ENSG00000085491	DAP2_2915
ENSG00000085511	DAP2_3958
ENSG00000085563	DAP3_3280
ENSG00000085662	DAP1_0657
ENSG00000085721	DAP2_3933
ENSG00000085733	DAP1_2708
ENSG00000085741	DAP1_3871
ENSG00000085760	DAP4_4167
ENSG00000085832	DAP4_0634
ENSG00000085840	DAP3_0931
ENSG00000085871	DAP3_1309
ENSG00000085872	DAP1_3085
ENSG00000085999	DAP1_4260
ENSG00000086061	DAP1_4162
ENSG00000086062	DAP3_2721
ENSG00000086159	DAP4_3725
ENSG00000086205	DAP4_4029
ENSG00000086300	DAP1_3440
ENSG00000086475	DAP1_3990
ENSG00000086504	DAP1_3633
ENSG00000086506	DAP4_1558
ENSG00000086548	DAP2_2892
ENSG00000086598	DAP3_4101
ENSG00000086696	DAP2_0110
ENSG00000086758	DAP4_0152
ENSG00000086967	DAP3_1741
